"","Cause","Jurisdiction","Number","Protection.zone","Response.category","Year","Juris_Long","Cause_Grouped","Time1","Time2","Region","Fire_Cause_Human"
"1","Forest industry","AB",22,"Intensive","Full",1990,"Alberta","People","Early 90s","1990s","Prairie Region","Human"
"2","Forest industry","AB",14,"Intensive","Full",1991,"Alberta","People","Early 90s","1990s","Prairie Region","Human"
"3","Forest industry","AB",12,"Intensive","Full",1992,"Alberta","People","Early 90s","1990s","Prairie Region","Human"
"4","Forest industry","AB",11,"Intensive","Full",1993,"Alberta","People","Early 90s","1990s","Prairie Region","Human"
"5","Forest industry","AB",13,"Intensive","Full",1994,"Alberta","People","Early 90s","1990s","Prairie Region","Human"
"6","Forest industry","AB",14,"Intensive","Full",1995,"Alberta","People","Early 90s","1990s","Prairie Region","Human"
"7","Forest industry","AB",8,"Intensive","Full",1996,"Alberta","People","Late 90s","1990s","Prairie Region","Human"
"8","Forest industry","AB",29,"Intensive","Full",1997,"Alberta","People","Late 90s","1990s","Prairie Region","Human"
"9","Forest industry","AB",10,"Intensive","Full",1998,"Alberta","People","Late 90s","1990s","Prairie Region","Human"
"10","Forest industry","AB",20,"Intensive","Full",1999,"Alberta","People","Late 90s","1990s","Prairie Region","Human"
"11","Forest industry","AB",10,"Intensive","Full",2000,"Alberta","People","Late 90s","2000s","Prairie Region","Human"
"12","Forest industry","AB",11,"Intensive","Full",2001,"Alberta","People","Early 10s","2000s","Prairie Region","Human"
"13","Forest industry","AB",11,"Intensive","Full",2002,"Alberta","People","Early 10s","2000s","Prairie Region","Human"
"14","Forest industry","AB",18,"Intensive","Full",2003,"Alberta","People","Early 10s","2000s","Prairie Region","Human"
"15","Forest industry","AB",22,"Intensive","Full",2004,"Alberta","People","Early 10s","2000s","Prairie Region","Human"
"16","Forest industry","AB",22,"Intensive","Full",2005,"Alberta","People","Early 10s","2000s","Prairie Region","Human"
"17","Forest industry","AB",26,"Intensive","Full",2006,"Alberta","People","Late 10s","2000s","Prairie Region","Human"
"18","Forest industry","AB",19,"Intensive","Full",2007,"Alberta","People","Late 10s","2000s","Prairie Region","Human"
"19","Forest industry","AB",41,"Intensive","Full",2008,"Alberta","People","Late 10s","2000s","Prairie Region","Human"
"20","Forest industry","AB",48,"Intensive","Full",2009,"Alberta","People","Late 10s","2000s","Prairie Region","Human"
"21","Forest industry","AB",22,"Intensive","Full",2010,"Alberta","People","Late 10s","2010s","Prairie Region","Human"
"22","Forest industry","AB",30,"Intensive","Full",2011,"Alberta","People","Early 20s","2010s","Prairie Region","Human"
"23","Forest industry","AB",15,"Intensive","Full",2012,"Alberta","People","Early 20s","2010s","Prairie Region","Human"
"24","Forest industry","AB",20,"Intensive","Full",2013,"Alberta","People","Early 20s","2010s","Prairie Region","Human"
"25","Forest industry","AB",23,"Intensive","Full",2014,"Alberta","People","Early 20s","2010s","Prairie Region","Human"
"26","Forest industry","AB",41,"Intensive","Full",2015,"Alberta","People","Early 20s","2010s","Prairie Region","Human"
"27","Forest industry","AB",32,"Intensive","Full",2016,"Alberta","People","Late 20s","2010s","Prairie Region","Human"
"28","Forest industry","AB",15,"Intensive","Full",2017,"Alberta","People","Late 20s","2010s","Prairie Region","Human"
"29","Forest industry","BC",185,"Intensive","Full",1990,"British Columbia","People","Early 90s","1990s","Pacific Region","Human"
"30","Forest industry","BC",143,"Intensive","Full",1991,"British Columbia","People","Early 90s","1990s","Pacific Region","Human"
"31","Forest industry","BC",152,"Intensive","Full",1992,"British Columbia","People","Early 90s","1990s","Pacific Region","Human"
"32","Forest industry","BC",149,"Intensive","Full",1993,"British Columbia","People","Early 90s","1990s","Pacific Region","Human"
"33","Forest industry","BC",113,"Intensive","Full",1994,"British Columbia","People","Early 90s","1990s","Pacific Region","Human"
"34","Forest industry","BC",134,"Intensive","Full",1995,"British Columbia","People","Early 90s","1990s","Pacific Region","Human"
"35","Forest industry","BC",130,"Intensive","Full",1996,"British Columbia","People","Late 90s","1990s","Pacific Region","Human"
"36","Forest industry","BC",62,"Intensive","Full",1997,"British Columbia","People","Late 90s","1990s","Pacific Region","Human"
"37","Forest industry","BC",3,"Intensive","Full",1998,"British Columbia","People","Late 90s","1990s","Pacific Region","Human"
"38","Forest industry","BC",7,"Intensive","Full",1999,"British Columbia","People","Late 90s","1990s","Pacific Region","Human"
"39","Forest industry","BC",8,"Intensive","Full",2000,"British Columbia","People","Late 90s","2000s","Pacific Region","Human"
"40","Forest industry","BC",4,"Intensive","Full",2001,"British Columbia","People","Early 10s","2000s","Pacific Region","Human"
"41","Forest industry","BC",12,"Intensive","Full",2002,"British Columbia","People","Early 10s","2000s","Pacific Region","Human"
"42","Forest industry","BC",5,"Intensive","Full",2003,"British Columbia","People","Early 10s","2000s","Pacific Region","Human"
"43","Forest industry","BC",6,"Intensive","Full",2004,"British Columbia","People","Early 10s","2000s","Pacific Region","Human"
"44","Forest industry","BC",3,"Intensive","Full",2005,"British Columbia","People","Early 10s","2000s","Pacific Region","Human"
"45","Forest industry","BC",8,"Intensive","Full",2006,"British Columbia","People","Late 10s","2000s","Pacific Region","Human"
"46","Forest industry","BC",11,"Intensive","Full",2007,"British Columbia","People","Late 10s","2000s","Pacific Region","Human"
"47","Forest industry","BC",10,"Intensive","Full",2008,"British Columbia","People","Late 10s","2000s","Pacific Region","Human"
"48","Forest industry","BC",26,"Intensive","Full",2009,"British Columbia","People","Late 10s","2000s","Pacific Region","Human"
"49","Forest industry","BC",11,"Intensive","Full",2010,"British Columbia","People","Late 10s","2010s","Pacific Region","Human"
"50","Forest industry","BC",4,"Intensive","Full",2011,"British Columbia","People","Early 20s","2010s","Pacific Region","Human"
"51","Forest industry","BC",10,"Intensive","Full",2012,"British Columbia","People","Early 20s","2010s","Pacific Region","Human"
"52","Forest industry","BC",19,"Intensive","Full",2013,"British Columbia","People","Early 20s","2010s","Pacific Region","Human"
"53","Forest industry","BC",12,"Intensive","Full",2014,"British Columbia","People","Early 20s","2010s","Pacific Region","Human"
"54","Forest industry","BC",29,"Intensive","Full",2015,"British Columbia","People","Early 20s","2010s","Pacific Region","Human"
"55","Forest industry","BC",11,"Intensive","Full",2016,"British Columbia","People","Late 20s","2010s","Pacific Region","Human"
"56","Forest industry","BC",21,"Intensive","Full",2017,"British Columbia","People","Late 20s","2010s","Pacific Region","Human"
"57","Forest industry","MB",1,"Intensive","Full",1996,"Manitoba","People","Late 90s","1990s","Prairie Region","Human"
"58","Forest industry","MB",1,"Intensive","Full",1997,"Manitoba","People","Late 90s","1990s","Prairie Region","Human"
"59","Forest industry","MB",3,"Intensive","Full",1998,"Manitoba","People","Late 90s","1990s","Prairie Region","Human"
"60","Forest industry","MB",4,"Intensive","Full",1999,"Manitoba","People","Late 90s","1990s","Prairie Region","Human"
"61","Forest industry","MB",4,"Intensive","Full",2000,"Manitoba","People","Late 90s","2000s","Prairie Region","Human"
"62","Forest industry","MB",0,"Intensive","Full",2001,"Manitoba","People","Early 10s","2000s","Prairie Region","Human"
"63","Forest industry","MB",4,"Intensive","Full",2002,"Manitoba","People","Early 10s","2000s","Prairie Region","Human"
"64","Forest industry","MB",13,"Intensive","Full",2003,"Manitoba","People","Early 10s","2000s","Prairie Region","Human"
"65","Forest industry","MB",2,"Intensive","Full",2004,"Manitoba","People","Early 10s","2000s","Prairie Region","Human"
"66","Forest industry","MB",1,"Intensive","Full",2005,"Manitoba","People","Early 10s","2000s","Prairie Region","Human"
"67","Forest industry","MB",8,"Intensive","Full",2006,"Manitoba","People","Late 10s","2000s","Prairie Region","Human"
"68","Forest industry","MB",8,"Intensive","Full",2007,"Manitoba","People","Late 10s","2000s","Prairie Region","Human"
"69","Forest industry","MB",14,"Intensive","Full",2008,"Manitoba","People","Late 10s","2000s","Prairie Region","Human"
"70","Forest industry","MB",0,"Intensive","Full",2009,"Manitoba","People","Late 10s","2000s","Prairie Region","Human"
"71","Forest industry","MB",21,"Intensive","Full",2010,"Manitoba","People","Late 10s","2010s","Prairie Region","Human"
"72","Forest industry","MB",1,"Intensive","Full",2011,"Manitoba","People","Early 20s","2010s","Prairie Region","Human"
"73","Forest industry","MB",3,"Intensive","Full",2012,"Manitoba","People","Early 20s","2010s","Prairie Region","Human"
"74","Forest industry","MB",10,"Intensive","Full",2013,"Manitoba","People","Early 20s","2010s","Prairie Region","Human"
"75","Forest industry","MB",1,"Intensive","Full",2014,"Manitoba","People","Early 20s","2010s","Prairie Region","Human"
"76","Forest industry","MB",2,"Intensive","Full",2015,"Manitoba","People","Early 20s","2010s","Prairie Region","Human"
"77","Forest industry","MB",0,"Intensive","Full",2016,"Manitoba","People","Late 20s","2010s","Prairie Region","Human"
"78","Forest industry","MB",0,"Intensive","Full",2017,"Manitoba","People","Late 20s","2010s","Prairie Region","Human"
"79","Forest industry","NP",0,"Intensive","Full",1990,"National parks","People","Early 90s","1990s","National Parks","Human"
"80","Forest industry","NP",0,"Intensive","Full",1991,"National parks","People","Early 90s","1990s","National Parks","Human"
"81","Forest industry","NP",0,"Intensive","Full",1992,"National parks","People","Early 90s","1990s","National Parks","Human"
"82","Forest industry","NP",0,"Intensive","Full",1993,"National parks","People","Early 90s","1990s","National Parks","Human"
"83","Forest industry","NP",0,"Intensive","Full",1994,"National parks","People","Early 90s","1990s","National Parks","Human"
"84","Forest industry","NP",0,"Intensive","Full",1995,"National parks","People","Early 90s","1990s","National Parks","Human"
"85","Forest industry","NP",0,"Intensive","Full",1997,"National parks","People","Late 90s","1990s","National Parks","Human"
"86","Forest industry","NP",0,"Intensive","Full",2001,"National parks","People","Early 10s","2000s","National Parks","Human"
"87","Forest industry","NP",0,"Intensive","Full",2002,"National parks","People","Early 10s","2000s","National Parks","Human"
"88","Forest industry","NP",0,"Intensive","Full",2003,"National parks","People","Early 10s","2000s","National Parks","Human"
"89","Forest industry","NP",1,"Intensive","Full",2004,"National parks","People","Early 10s","2000s","National Parks","Human"
"90","Forest industry","NP",0,"Intensive","Full",2005,"National parks","People","Early 10s","2000s","National Parks","Human"
"91","Forest industry","NP",1,"Intensive","Full",2006,"National parks","People","Late 10s","2000s","National Parks","Human"
"92","Forest industry","NP",0,"Intensive","Full",2007,"National parks","People","Late 10s","2000s","National Parks","Human"
"93","Forest industry","NP",0,"Intensive","Full",2008,"National parks","People","Late 10s","2000s","National Parks","Human"
"94","Forest industry","NP",0,"Intensive","Full",2009,"National parks","People","Late 10s","2000s","National Parks","Human"
"95","Forest industry","NP",3,"Intensive","Full",2010,"National parks","People","Late 10s","2010s","National Parks","Human"
"96","Forest industry","NP",0,"Intensive","Full",2011,"National parks","People","Early 20s","2010s","National Parks","Human"
"97","Forest industry","NP",0,"Intensive","Full",2012,"National parks","People","Early 20s","2010s","National Parks","Human"
"98","Forest industry","NP",0,"Intensive","Full",2013,"National parks","People","Early 20s","2010s","National Parks","Human"
"99","Forest industry","NP",0,"Intensive","Full",2014,"National parks","People","Early 20s","2010s","National Parks","Human"
"100","Forest industry","NP",0,"Intensive","Full",2015,"National parks","People","Early 20s","2010s","National Parks","Human"
"101","Forest industry","NP",0,"Intensive","Full",2016,"National parks","People","Late 20s","2010s","National Parks","Human"
"102","Forest industry","NP",0,"Intensive","Full",2017,"National parks","People","Late 20s","2010s","National Parks","Human"
"103","Forest industry","NB",24,"Intensive","Full",1990,"New Brunswick","People","Early 90s","1990s","Atlantic Region","Human"
"104","Forest industry","NB",23,"Intensive","Full",1991,"New Brunswick","People","Early 90s","1990s","Atlantic Region","Human"
"105","Forest industry","NB",10,"Intensive","Full",1992,"New Brunswick","People","Early 90s","1990s","Atlantic Region","Human"
"106","Forest industry","NB",11,"Intensive","Full",1993,"New Brunswick","People","Early 90s","1990s","Atlantic Region","Human"
"107","Forest industry","NB",26,"Intensive","Full",1994,"New Brunswick","People","Early 90s","1990s","Atlantic Region","Human"
"108","Forest industry","NB",27,"Intensive","Full",1995,"New Brunswick","People","Early 90s","1990s","Atlantic Region","Human"
"109","Forest industry","NB",17,"Intensive","Full",1996,"New Brunswick","People","Late 90s","1990s","Atlantic Region","Human"
"110","Forest industry","NB",37,"Intensive","Full",1997,"New Brunswick","People","Late 90s","1990s","Atlantic Region","Human"
"111","Forest industry","NB",16,"Intensive","Full",1998,"New Brunswick","People","Late 90s","1990s","Atlantic Region","Human"
"112","Forest industry","NB",29,"Intensive","Full",1999,"New Brunswick","People","Late 90s","1990s","Atlantic Region","Human"
"113","Forest industry","NB",11,"Intensive","Full",2000,"New Brunswick","People","Late 90s","2000s","Atlantic Region","Human"
"114","Forest industry","NB",22,"Intensive","Full",2001,"New Brunswick","People","Early 10s","2000s","Atlantic Region","Human"
"115","Forest industry","NB",11,"Intensive","Full",2002,"New Brunswick","People","Early 10s","2000s","Atlantic Region","Human"
"116","Forest industry","NB",6,"Intensive","Full",2003,"New Brunswick","People","Early 10s","2000s","Atlantic Region","Human"
"117","Forest industry","NB",5,"Intensive","Full",2004,"New Brunswick","People","Early 10s","2000s","Atlantic Region","Human"
"118","Forest industry","NB",10,"Intensive","Full",2005,"New Brunswick","People","Early 10s","2000s","Atlantic Region","Human"
"119","Forest industry","NB",7,"Intensive","Full",2006,"New Brunswick","People","Late 10s","2000s","Atlantic Region","Human"
"120","Forest industry","NB",5,"Intensive","Full",2007,"New Brunswick","People","Late 10s","2000s","Atlantic Region","Human"
"121","Forest industry","NB",10,"Intensive","Full",2008,"New Brunswick","People","Late 10s","2000s","Atlantic Region","Human"
"122","Forest industry","NB",7,"Intensive","Full",2009,"New Brunswick","People","Late 10s","2000s","Atlantic Region","Human"
"123","Forest industry","NB",8,"Intensive","Full",2010,"New Brunswick","People","Late 10s","2010s","Atlantic Region","Human"
"124","Forest industry","NB",1,"Intensive","Full",2011,"New Brunswick","People","Early 20s","2010s","Atlantic Region","Human"
"125","Forest industry","NB",9,"Intensive","Full",2012,"New Brunswick","People","Early 20s","2010s","Atlantic Region","Human"
"126","Forest industry","NB",8,"Intensive","Full",2013,"New Brunswick","People","Early 20s","2010s","Atlantic Region","Human"
"127","Forest industry","NB",8,"Intensive","Full",2014,"New Brunswick","People","Early 20s","2010s","Atlantic Region","Human"
"128","Forest industry","NB",6,"Intensive","Full",2015,"New Brunswick","People","Early 20s","2010s","Atlantic Region","Human"
"129","Forest industry","NB",0,"Intensive","Full",2017,"New Brunswick","People","Late 20s","2010s","Atlantic Region","Human"
"130","Forest industry","NL",5,"Intensive","Full",1990,"Newfoundland and Labrador","People","Early 90s","1990s","Atlantic Region","Human"
"131","Forest industry","NL",6,"Intensive","Full",1991,"Newfoundland and Labrador","People","Early 90s","1990s","Atlantic Region","Human"
"132","Forest industry","NL",5,"Intensive","Full",1992,"Newfoundland and Labrador","People","Early 90s","1990s","Atlantic Region","Human"
"133","Forest industry","NL",7,"Intensive","Full",1993,"Newfoundland and Labrador","People","Early 90s","1990s","Atlantic Region","Human"
"134","Forest industry","NL",5,"Intensive","Full",1994,"Newfoundland and Labrador","People","Early 90s","1990s","Atlantic Region","Human"
"135","Forest industry","NL",3,"Intensive","Full",1995,"Newfoundland and Labrador","People","Early 90s","1990s","Atlantic Region","Human"
"136","Forest industry","NL",3,"Intensive","Full",1996,"Newfoundland and Labrador","People","Late 90s","1990s","Atlantic Region","Human"
"137","Forest industry","NL",5,"Intensive","Full",1997,"Newfoundland and Labrador","People","Late 90s","1990s","Atlantic Region","Human"
"138","Forest industry","NL",4,"Intensive","Full",1998,"Newfoundland and Labrador","People","Late 90s","1990s","Atlantic Region","Human"
"139","Forest industry","NL",6,"Intensive","Full",1999,"Newfoundland and Labrador","People","Late 90s","1990s","Atlantic Region","Human"
"140","Forest industry","NL",5,"Intensive","Full",2000,"Newfoundland and Labrador","People","Late 90s","2000s","Atlantic Region","Human"
"141","Forest industry","NL",9,"Intensive","Full",2001,"Newfoundland and Labrador","People","Early 10s","2000s","Atlantic Region","Human"
"142","Forest industry","NL",4,"Intensive","Full",2002,"Newfoundland and Labrador","People","Early 10s","2000s","Atlantic Region","Human"
"143","Forest industry","NL",6,"Intensive","Full",2003,"Newfoundland and Labrador","People","Early 10s","2000s","Atlantic Region","Human"
"144","Forest industry","NL",0,"Intensive","Full",2004,"Newfoundland and Labrador","People","Early 10s","2000s","Atlantic Region","Human"
"145","Forest industry","NL",3,"Intensive","Full",2005,"Newfoundland and Labrador","People","Early 10s","2000s","Atlantic Region","Human"
"146","Forest industry","NL",2,"Intensive","Full",2006,"Newfoundland and Labrador","People","Late 10s","2000s","Atlantic Region","Human"
"147","Forest industry","NL",1,"Intensive","Full",2007,"Newfoundland and Labrador","People","Late 10s","2000s","Atlantic Region","Human"
"148","Forest industry","NL",0,"Intensive","Full",2008,"Newfoundland and Labrador","People","Late 10s","2000s","Atlantic Region","Human"
"149","Forest industry","NL",3,"Intensive","Full",2009,"Newfoundland and Labrador","People","Late 10s","2000s","Atlantic Region","Human"
"150","Forest industry","NL",2,"Intensive","Full",2010,"Newfoundland and Labrador","People","Late 10s","2010s","Atlantic Region","Human"
"151","Forest industry","NL",1,"Intensive","Full",2011,"Newfoundland and Labrador","People","Early 20s","2010s","Atlantic Region","Human"
"152","Forest industry","NL",2,"Intensive","Full",2012,"Newfoundland and Labrador","People","Early 20s","2010s","Atlantic Region","Human"
"153","Forest industry","NL",0,"Intensive","Full",2013,"Newfoundland and Labrador","People","Early 20s","2010s","Atlantic Region","Human"
"154","Forest industry","NL",2,"Intensive","Full",2014,"Newfoundland and Labrador","People","Early 20s","2010s","Atlantic Region","Human"
"155","Forest industry","NL",4,"Intensive","Full",2015,"Newfoundland and Labrador","People","Early 20s","2010s","Atlantic Region","Human"
"156","Forest industry","NL",3,"Intensive","Full",2016,"Newfoundland and Labrador","People","Late 20s","2010s","Atlantic Region","Human"
"157","Forest industry","NL",1,"Intensive","Full",2017,"Newfoundland and Labrador","People","Late 20s","2010s","Atlantic Region","Human"
"158","Forest industry","NS",15,"Intensive","Full",1990,"Nova Scotia","People","Early 90s","1990s","Atlantic Region","Human"
"159","Forest industry","NS",17,"Intensive","Full",1991,"Nova Scotia","People","Early 90s","1990s","Atlantic Region","Human"
"160","Forest industry","NS",8,"Intensive","Full",1992,"Nova Scotia","People","Early 90s","1990s","Atlantic Region","Human"
"161","Forest industry","NS",8,"Intensive","Full",1993,"Nova Scotia","People","Early 90s","1990s","Atlantic Region","Human"
"162","Forest industry","NS",10,"Intensive","Full",1994,"Nova Scotia","People","Early 90s","1990s","Atlantic Region","Human"
"163","Forest industry","NS",10,"Intensive","Full",1995,"Nova Scotia","People","Early 90s","1990s","Atlantic Region","Human"
"164","Forest industry","NS",7,"Intensive","Full",1996,"Nova Scotia","People","Late 90s","1990s","Atlantic Region","Human"
"165","Forest industry","NS",7,"Intensive","Full",1997,"Nova Scotia","People","Late 90s","1990s","Atlantic Region","Human"
"166","Forest industry","NS",8,"Intensive","Full",1998,"Nova Scotia","People","Late 90s","1990s","Atlantic Region","Human"
"167","Forest industry","NS",26,"Intensive","Full",1999,"Nova Scotia","People","Late 90s","1990s","Atlantic Region","Human"
"168","Forest industry","NS",7,"Intensive","Full",2000,"Nova Scotia","People","Late 90s","2000s","Atlantic Region","Human"
"169","Forest industry","NS",19,"Intensive","Full",2001,"Nova Scotia","People","Early 10s","2000s","Atlantic Region","Human"
"170","Forest industry","NS",5,"Intensive","Full",2002,"Nova Scotia","People","Early 10s","2000s","Atlantic Region","Human"
"171","Forest industry","NS",6,"Intensive","Full",2003,"Nova Scotia","People","Early 10s","2000s","Atlantic Region","Human"
"172","Forest industry","NS",4,"Intensive","Full",2004,"Nova Scotia","People","Early 10s","2000s","Atlantic Region","Human"
"173","Forest industry","NS",6,"Intensive","Full",2005,"Nova Scotia","People","Early 10s","2000s","Atlantic Region","Human"
"174","Forest industry","NS",6,"Intensive","Full",2006,"Nova Scotia","People","Late 10s","2000s","Atlantic Region","Human"
"175","Forest industry","NS",8,"Intensive","Full",2007,"Nova Scotia","People","Late 10s","2000s","Atlantic Region","Human"
"176","Forest industry","NS",5,"Intensive","Full",2008,"Nova Scotia","People","Late 10s","2000s","Atlantic Region","Human"
"177","Forest industry","NS",3,"Intensive","Full",2009,"Nova Scotia","People","Late 10s","2000s","Atlantic Region","Human"
"178","Forest industry","NS",4,"Intensive","Full",2010,"Nova Scotia","People","Late 10s","2010s","Atlantic Region","Human"
"179","Forest industry","NS",2,"Intensive","Full",2011,"Nova Scotia","People","Early 20s","2010s","Atlantic Region","Human"
"180","Forest industry","NS",7,"Intensive","Full",2012,"Nova Scotia","People","Early 20s","2010s","Atlantic Region","Human"
"181","Forest industry","NS",1,"Intensive","Full",2013,"Nova Scotia","People","Early 20s","2010s","Atlantic Region","Human"
"182","Forest industry","NS",0,"Intensive","Full",2014,"Nova Scotia","People","Early 20s","2010s","Atlantic Region","Human"
"183","Forest industry","NS",2,"Intensive","Full",2015,"Nova Scotia","People","Early 20s","2010s","Atlantic Region","Human"
"184","Forest industry","NS",5,"Intensive","Full",2016,"Nova Scotia","People","Late 20s","2010s","Atlantic Region","Human"
"185","Forest industry","NS",4,"Intensive","Full",2017,"Nova Scotia","People","Late 20s","2010s","Atlantic Region","Human"
"186","Forest industry","ON",30,"Intensive","Full",1990,"Ontario","People","Early 90s","1990s","Central Region","Human"
"187","Forest industry","ON",38,"Intensive","Full",1991,"Ontario","People","Early 90s","1990s","Central Region","Human"
"188","Forest industry","ON",22,"Intensive","Full",1992,"Ontario","People","Early 90s","1990s","Central Region","Human"
"189","Forest industry","ON",13,"Intensive","Full",1993,"Ontario","People","Early 90s","1990s","Central Region","Human"
"190","Forest industry","ON",14,"Intensive","Full",1994,"Ontario","People","Early 90s","1990s","Central Region","Human"
"191","Forest industry","ON",41,"Intensive","Full",1995,"Ontario","People","Early 90s","1990s","Central Region","Human"
"192","Forest industry","ON",25,"Intensive","Full",1996,"Ontario","People","Late 90s","1990s","Central Region","Human"
"193","Forest industry","ON",53,"Intensive","Full",1997,"Ontario","People","Late 90s","1990s","Central Region","Human"
"194","Forest industry","ON",32,"Intensive","Full",1998,"Ontario","People","Late 90s","1990s","Central Region","Human"
"195","Forest industry","ON",47,"Intensive","Full",1999,"Ontario","People","Late 90s","1990s","Central Region","Human"
"196","Forest industry","ON",47,"Intensive","Full",2000,"Ontario","People","Late 90s","2000s","Central Region","Human"
"197","Forest industry","ON",33,"Intensive","Full",2001,"Ontario","People","Early 10s","2000s","Central Region","Human"
"198","Forest industry","ON",29,"Intensive","Full",2002,"Ontario","People","Early 10s","2000s","Central Region","Human"
"199","Forest industry","ON",22,"Intensive","Full",2003,"Ontario","People","Early 10s","2000s","Central Region","Human"
"200","Forest industry","ON",27,"Intensive","Full",2004,"Ontario","People","Early 10s","2000s","Central Region","Human"
"201","Forest industry","ON",38,"Intensive","Full",2005,"Ontario","People","Early 10s","2000s","Central Region","Human"
"202","Forest industry","ON",27,"Intensive","Full",2006,"Ontario","People","Late 10s","2000s","Central Region","Human"
"203","Forest industry","ON",19,"Intensive","Full",2007,"Ontario","People","Late 10s","2000s","Central Region","Human"
"204","Forest industry","ON",2,"Intensive","Full",2008,"Ontario","People","Late 10s","2000s","Central Region","Human"
"205","Forest industry","ON",4,"Intensive","Full",2009,"Ontario","People","Late 10s","2000s","Central Region","Human"
"206","Forest industry","ON",15,"Intensive","Full",2010,"Ontario","People","Late 10s","2010s","Central Region","Human"
"207","Forest industry","ON",29,"Intensive","Full",2011,"Ontario","People","Early 20s","2010s","Central Region","Human"
"208","Forest industry","ON",24,"Intensive","Full",2012,"Ontario","People","Early 20s","2010s","Central Region","Human"
"209","Forest industry","ON",13,"Intensive","Full",2013,"Ontario","People","Early 20s","2010s","Central Region","Human"
"210","Forest industry","ON",6,"Intensive","Full",2014,"Ontario","People","Early 20s","2010s","Central Region","Human"
"211","Forest industry","ON",14,"Intensive","Full",2015,"Ontario","People","Early 20s","2010s","Central Region","Human"
"212","Forest industry","ON",24,"Intensive","Full",2016,"Ontario","People","Late 20s","2010s","Central Region","Human"
"213","Forest industry","ON",12,"Intensive","Full",2017,"Ontario","People","Late 20s","2010s","Central Region","Human"
"214","Forest industry","PE",0,"Intensive","Full",1990,"Prince Edward Island","People","Early 90s","1990s","Atlantic Region","Human"
"215","Forest industry","PE",2,"Intensive","Full",1991,"Prince Edward Island","People","Early 90s","1990s","Atlantic Region","Human"
"216","Forest industry","PE",1,"Intensive","Full",1992,"Prince Edward Island","People","Early 90s","1990s","Atlantic Region","Human"
"217","Forest industry","PE",1,"Intensive","Full",1993,"Prince Edward Island","People","Early 90s","1990s","Atlantic Region","Human"
"218","Forest industry","PE",7,"Intensive","Full",1994,"Prince Edward Island","People","Early 90s","1990s","Atlantic Region","Human"
"219","Forest industry","PE",1,"Intensive","Full",1995,"Prince Edward Island","People","Early 90s","1990s","Atlantic Region","Human"
"220","Forest industry","PE",0,"Intensive","Full",1996,"Prince Edward Island","People","Late 90s","1990s","Atlantic Region","Human"
"221","Forest industry","PE",2,"Intensive","Full",1998,"Prince Edward Island","People","Late 90s","1990s","Atlantic Region","Human"
"222","Forest industry","PE",1,"Intensive","Full",1999,"Prince Edward Island","People","Late 90s","1990s","Atlantic Region","Human"
"223","Forest industry","PE",0,"Intensive","Full",2001,"Prince Edward Island","People","Early 10s","2000s","Atlantic Region","Human"
"224","Forest industry","PE",2,"Intensive","Full",2002,"Prince Edward Island","People","Early 10s","2000s","Atlantic Region","Human"
"225","Forest industry","PE",1,"Intensive","Full",2003,"Prince Edward Island","People","Early 10s","2000s","Atlantic Region","Human"
"226","Forest industry","PE",0,"Intensive","Full",2004,"Prince Edward Island","People","Early 10s","2000s","Atlantic Region","Human"
"227","Forest industry","PE",0,"Intensive","Full",2005,"Prince Edward Island","People","Early 10s","2000s","Atlantic Region","Human"
"228","Forest industry","PE",0,"Intensive","Full",2006,"Prince Edward Island","People","Late 10s","2000s","Atlantic Region","Human"
"229","Forest industry","PE",0,"Intensive","Full",2007,"Prince Edward Island","People","Late 10s","2000s","Atlantic Region","Human"
"230","Forest industry","PE",1,"Intensive","Full",2008,"Prince Edward Island","People","Late 10s","2000s","Atlantic Region","Human"
"231","Forest industry","PE",0,"Intensive","Full",2009,"Prince Edward Island","People","Late 10s","2000s","Atlantic Region","Human"
"232","Forest industry","PE",0,"Intensive","Full",2010,"Prince Edward Island","People","Late 10s","2010s","Atlantic Region","Human"
"233","Forest industry","PE",0,"Intensive","Full",2011,"Prince Edward Island","People","Early 20s","2010s","Atlantic Region","Human"
"234","Forest industry","PE",0,"Intensive","Full",2012,"Prince Edward Island","People","Early 20s","2010s","Atlantic Region","Human"
"235","Forest industry","PE",0,"Intensive","Full",2013,"Prince Edward Island","People","Early 20s","2010s","Atlantic Region","Human"
"236","Forest industry","PE",0,"Intensive","Full",2016,"Prince Edward Island","People","Late 20s","2010s","Atlantic Region","Human"
"237","Forest industry","PE",0,"Intensive","Full",2017,"Prince Edward Island","People","Late 20s","2010s","Atlantic Region","Human"
"238","Forest industry","QC",58,"Intensive","Full",1990,"Quebec","People","Early 90s","1990s","Central Region","Human"
"239","Forest industry","QC",49,"Intensive","Full",1991,"Quebec","People","Early 90s","1990s","Central Region","Human"
"240","Forest industry","QC",36,"Intensive","Full",1992,"Quebec","People","Early 90s","1990s","Central Region","Human"
"241","Forest industry","QC",24,"Intensive","Full",1993,"Quebec","People","Early 90s","1990s","Central Region","Human"
"242","Forest industry","QC",21,"Intensive","Full",1994,"Quebec","People","Early 90s","1990s","Central Region","Human"
"243","Forest industry","QC",59,"Intensive","Full",1995,"Quebec","People","Early 90s","1990s","Central Region","Human"
"244","Forest industry","QC",71,"Intensive","Full",1996,"Quebec","People","Late 90s","1990s","Central Region","Human"
"245","Forest industry","QC",66,"Intensive","Full",1997,"Quebec","People","Late 90s","1990s","Central Region","Human"
